"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","neg_log10_padj","status","status_strict","gene_name","description"
"YFR022W",36.6481776694754,-1.51884800886747,0.402960905515294,1.65364379568755e-05,0.000223480242454892,3.65076086614325,"Down in thin","Down in thin","ROG3","Alpha-arrestin involved in ubiquitin-dependent endocytosis; contributes to desensitization of agonist-occupied alpha-factor receptor Ste2p by Rsp5p-independent internalization; PPXY motif-mediated binding of the ubiquitin ligase Rsp5p is not required for adaptation; mutation suppresses the temperature sensitivity of an mck1 rim11 double mutant; SWAT-GFP and mCherry fusion proteins localize to the cytosol; ROG3 has a paralog, ROD1, that arose from the whole genome duplication"
"YFL021C-A",40.7372950335569,-1.41053733583161,0.371548534973455,1.65796896330485e-05,0.000223569044941218,3.6505883284326,"Down in thin","Down in thin",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps ORF GAT1/YFL021W"
"YHR051W",515.92278898955,0.928375379250296,0.232669415790896,1.69042162732256e-05,0.000227441938598919,3.64312945159749,"Not significant","Not significant","COX6","Subunit VI of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; expression is regulated by oxygen levels"
"YBR056C-B",16.7172868542488,2.06312862399548,0.554034895342612,1.72281350123549e-05,0.000231289609912562,3.63584387634738,"Up in thin","Up in thin",NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the dubious ORF YBR056W-A"
"YGR240C",658.795939582238,-1.07543165494211,0.275485787263177,1.75602934985774e-05,0.000234797881267927,3.62930582632476,"Down in thin","Down in thin","PFK1","Alpha subunit of heterooctameric phosphofructokinase; involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes"
"YOR230W",154.260834254932,-1.24752752837681,0.326021265384034,1.75665026838679e-05,0.000234797881267927,3.62930582632476,"Down in thin","Down in thin","WTM1","Transcriptional modulator; involved in regulation of meiosis, silencing, and expression of RNR genes; acts as a nuclear anchor to retain the ribonucleotide reductase small subunit heterodimer, Rnr2p-Rnr4p, in the nucleus when cells are not in S phase; contains WD repeats"
"YIL072W",30.2323710536947,-1.50554575718242,0.399545815780607,1.79674317480838e-05,0.000239631283379804,3.62045648631461,"Down in thin","Down in thin","HOP1","Meiosis-specific HORMAD protein required for chromosome synapsis; displays Red1p-dependent localization to unsynapsed axial-lateral elements of the synaptonemal complex; required for chiasma formation; binds chromatin to regulate initiation of meiotic recombination; promotes intra- and intermolecular synapsis between dsDNA molecules and folds DNA into rigid protein-DNA filaments in vitro; contains a HORMA domain, and a chromatin-binding region made up of PHD and winged helix-turn-helix domains"
"YHL024W",54.6655035701765,1.29719522042421,0.339509961292257,1.81843976817208e-05,0.000241995423297135,3.61619284747244,"Up in thin","Up in thin","RIM4","Putative RNA-binding protein; involved in regulation of early and middle sporulation genes; forms amyloid-like aggregates under starvation that are active in translational repression"
"YBR043C",63.5125859851485,-1.19500312946166,0.310624302397077,1.83134947969423e-05,0.000243182463589026,3.6140677461802,"Down in thin","Down in thin","QDR3","Multidrug transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; has a role in polyamine homeostasis; involved in spore wall asembly; sequence similarity to DTR1 and QDR1, and the triple mutant dtr1 qdr1 qdr3 exhibits reduced dityrosine fluorescence relative to the single mutants; expression is upregulated under polyamine stress; required for resistance to quinidine, barban, cisplatin, and bleomycin"
"YLR310C",275.974300247332,-0.933895032576307,0.235821805691408,1.86195390135271e-05,0.000246708891929234,3.6078151973031,"Not significant","Not significant","CDC25","Membrane bound guanine nucleotide exchange factor; also known as a GEF or GDP-release factor; indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1; thermosensitivity of the cdc25-5 mutant is functionally complemented by human RASGRF1 or by a fragment of human SOS1 comprising the CDC25-related catalytic domain"
"YEL054C",106.155054315768,1.30591450115874,0.343057651228571,1.88635027998669e-05,0.00024939923983772,3.60310487457354,"Up in thin","Up in thin","RPL12A","Ribosomal 60S subunit protein L12A functions as a ribophagy receptor; phosphorylation by Atg1p triggers ribophagy during starvation; rpl12a rpl12b double mutant exhibits slow growth and slow translation; homologous to human RPL12, Drosophila rpl12, and C. elegans ppl-12 that all function as conserved ribophagy receptors; RPL12A has a paralog, RPL12B, that arose from the whole genome duplication"
"YGR161W-C",35.857511362415,1.44204727783303,0.382225711907388,1.91538185386932e-05,0.00025268944587302,3.59741289695951,"Up in thin","Up in thin",NA,"Protein of unknown function; identified by sequence comparison with hemiascomycetous yeast species"
"YBR240C",22.7094631701795,-1.73347687734152,0.468908658206863,1.96715874481735e-05,0.00025895966629939,3.58676787324569,"Down in thin","Down in thin","THI2","Transcriptional activator of thiamine biosynthetic genes; interacts with regulatory factor Thi3p to control expression of thiamine biosynthetic genes with respect to thiamine availability; acts together with Pdc2p to respond to thiaminediphosphate demand, possibly as related to carbon source availability; zinc finger protein of the Zn(II)2Cys6 type"
"YPL002C",67.9863624381742,-1.30341242554631,0.345025177296583,2.01635671697314e-05,0.000264864098921364,3.57697690428104,"Down in thin","Down in thin","SNF8","Component of the ESCRT-II complex; ESCRT-II is involved in ubiquitin-dependent sorting of proteins into the endosome; appears to be functionally related to SNF7; involved in glucose derepression"
"YER101C",43.5639147496765,-1.44253753966065,0.387931444856788,2.03477605759536e-05,0.000266136482211239,3.57489558791752,"Down in thin","Down in thin","AST2","Lipid raft associated protein; overexpression restores Pma1p localization to lipid rafts which is required for targeting of Pma1p to the plasma membrane; sometimes classified in the medium-chain dehydrogenase/reductases (MDRs) superfamily; AST2 has a paralog, AST1, that arose from the whole genome duplication"
"YMR186W",721.981613327365,0.950079959455318,0.241451947459878,2.03265245933305e-05,0.000266136482211239,3.57489558791752,"Not significant","Not significant","HSC82","Cytoplasmic chaperone of the Hsp90 family; plays a role in determining prion variants; redundant in function and nearly identical with Hsp82p, and together they are essential; expressed constitutively at 10-fold higher basal levels than HSP82 and induced 2-3 fold by heat shock; contains two acid-rich unstructured regions that promote the solubility of chaperone-substrate complexes; HSC82 has a paralog, HSP82, that arose from the whole genome duplication"
"YKR061W",69.6064676045076,1.2780434030513,0.336556133882455,2.04494189116807e-05,0.000266893379586068,3.57366219895471,"Up in thin","Up in thin","KTR2","Mannosyltransferase involved in N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family; KTR2 has a paralog, YUR1, that arose from the whole genome duplication"
"YCL049C",49.586774910753,-1.2984564817645,0.342174727410898,2.15035776830102e-05,0.000280051935850315,3.55276142093774,"Down in thin","Down in thin",NA,"Protein of unknown function; localizes to membrane fraction; YCL049C is not an essential gene"
"YDR046C",18.8532479764957,1.91097196957422,0.520979003085486,2.16119745120827e-05,0.000280863506718857,3.55150468607511,"Up in thin","Up in thin","BAP3","Amino acid permease; involved in uptake of cysteine, leucine, isoleucine and valine; BAP3 has a paralog, BAP2, that arose from the whole genome duplication"
"YDR475C",90.9149322557729,-1.0976520625702,0.286017841698817,2.20311738678711e-05,0.000285702137712073,3.54408651007899,"Down in thin","Down in thin","JIP4","Protein of unknown function; previously annotated as two separate ORFs, YDR474C and YDR475C, which were merged as a result of corrections to the systematic reference sequence; JIP4 has a paralog, YOR019W, that arose from the whole genome duplication"
"YLR300W",413.090141893517,-1.13701610195552,0.299181041508168,2.23484898016487e-05,0.000289201794779297,3.53879901614816,"Down in thin","Down in thin","EXG1","Major exo-1,3-beta-glucanase of the cell wall; involved in cell wall beta-glucan assembly; exists as three differentially glycosylated isoenzymes; EXG1 has a paralog, SPR1, that arose from the whole genome duplication"
"YHR052W",58.1531877729269,1.2840335229262,0.33866713838916,2.23976682183932e-05,0.000289224126676073,3.53876548162218,"Up in thin","Up in thin","CIC1","Essential protein that interacts with proteasome components; has a potential role in proteasome substrate specificity; also copurifies with 66S pre-ribosomal particles"
"YNL070W",76.0859715085197,1.14915003940333,0.300142484326508,2.2453322974969e-05,0.000289329817193311,3.53860680736398,"Up in thin","Up in thin","TOM7","Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; promotes assembly and stability of the TOM complex"
"YKL170W",53.998563873254,1.23292259092637,0.324032756741715,2.27259951375685e-05,0.000292225612581182,3.53428172229907,"Up in thin","Up in thin","MRPL38","Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL34 and YmL38) on two-dimensional SDS gels; protein abundance increases in response to DNA replication stress"
"YLR039C",85.3315396270267,1.25924457704641,0.332098937451922,2.27961651082437e-05,0.000292510792283675,3.5338581058458,"Up in thin","Up in thin","RIC1","Protein involved in retrograde transport to the cis-Golgi network; forms heterodimer with Rgp1p that acts as a GTP exchange factor for Ypt6p; involved in transcription of rRNA and ribosomal protein genes"
"YDR262W",137.423791613285,-1.0394499201379,0.270317980973158,2.31389674483814e-05,0.000296285728146816,3.52828926764368,"Down in thin","Down in thin",NA,"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole and is induced in response to the DNA-damaging agent MMS; gene expression increases in response to Zymoliase treatment"
"YGR023W",45.7558659783864,-1.37995112337935,0.372359071590087,2.33008509315623e-05,0.000297110222652452,3.52708240519677,"Down in thin","Down in thin","MTL1","Transmembrane sensor of the cell wall integrity pathway (CWI); involved in cell integrity signaling and stress response during glucose starvation and oxidative stress; structurally and functionally similar to Mid2p; MTL1 has a paralog, MID2, that arose from the whole genome duplication"
"YJL074C",94.4914475752989,1.32983147732492,0.353352339849712,2.32596400123319e-05,0.000297110222652452,3.52708240519677,"Up in thin","Up in thin","SMC3","Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member"
"YDR122W",130.535259783622,-0.996506167417175,0.257329498442167,2.34435917188787e-05,0.000298306245358174,3.52533765412637,"Not significant","Not significant","KIN1","S/T protein kinase; regulates polarized exocytosis and the Ire1p-mediated unfolded protein response; regulates HAC1 mRNA translocation, splicing and translation with KIN2 during ER stress; direct phosphorylation of the substrate Sec9p (S190) is enhanced by prior substrate priming (S192); localizes to the cytoplasmic face of the plasma membrane; activation loop phosphorylation (T302) required for full kinase activity; orthologous to MARK/PAR-1, AMP-activated protein kinase (AMPK) family members"
"YNL065W",64.6093903209178,-1.2647381775757,0.337002485771458,2.42161403123214e-05,0.000307494531674164,3.51216260309134,"Down in thin","Down in thin","AQR1","Plasma membrane transporter of the major facilitator superfamily; involved in the excretion of excess amino acids; member of the 12-spanner drug:H(+) antiporter DHA1 family; confers resistance to short-chain monocarboxylic acids and quinidine; relocalizes from plasma membrane to cytoplasm upon DNA replication stress; AQR1 has a paralog, QDR1, that arose from the whole genome duplication"
"YJL005W",311.652087380739,-0.920371720611996,0.23628747817978,2.43425545447536e-05,0.000308457110083729,3.51080521460937,"Not significant","Not significant","CYR1","Adenylate cyclase; required for cAMP production and cAMP-dependent protein kinase signaling; scaffold protein for Ras2-Ira interaction; the cAMP pathway controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation"
"YKR094C",69.5446925095714,1.16024338538315,0.304681913901319,2.44654426624695e-05,0.000309371105866704,3.50952025026376,"Up in thin","Up in thin","RPL40B","Ubiquitin-ribosomal 60S subunit protein L40B fusion protein; cleaved to yield ubiquitin and ribosomal protein L40B; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes; homologous to mammalian ribosomal protein L40, no bacterial homolog; RPL40B has a paralog, RPL40A, that arose from the whole genome duplication"
"YCR061W",26.7839264470619,-1.83815546334279,0.517441573475397,2.46417266557678e-05,0.000310952037619242,3.50730659297847,"Down in thin","Down in thin","TVS1","Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; non-essential gene; upregulated by and required for tolerance to 4-Methylcyclohexane methanol; induced by treatment with 8-methoxypsoralen and UVA irradiation; contains 10-11 predicted transmembrane domains "
"YNL200C",165.158420236513,-0.955716152104516,0.246646874399981,2.46924997879759e-05,0.000310952037619242,3.50730659297847,"Not significant","Not significant","NNR1","NADHX epimerase; catalyzes isomerization of (R)- and (S)-NADHX; homologous to AIBP in mammals and the N- terminal domain of YjeF in E.coli; enzyme is widespread in eukaryotes, prokaryotes and archaea; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
