"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009135","purine nucleoside diphosphate metabolic process","17/763","32/5539",0.53125,3.85661041939712,6.47701723182919,1.45471656912635e-07,5.4980826228006e-06,5.4980826228006e-06,"YDL021W/YDR226W/YDR050C/YJR009C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",17
"GO:0009179","purine ribonucleoside diphosphate metabolic process","17/763","32/5539",0.53125,3.85661041939712,6.47701723182919,1.45471656912635e-07,5.4980826228006e-06,5.4980826228006e-06,"YDL021W/YDR226W/YDR050C/YJR009C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",17
"GO:0006096","glycolytic process","16/763","29/5539",0.551724137931034,4.00524246395806,6.48498986846816,1.70159039383896e-07,5.83289358260145e-06,5.83289358260145e-06,"YDL021W/YDR050C/YJR009C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",16
"GO:0009137","purine nucleoside diphosphate catabolic process","16/763","29/5539",0.551724137931034,4.00524246395806,6.48498986846816,1.70159039383896e-07,5.83289358260145e-06,5.83289358260145e-06,"YDL021W/YDR050C/YJR009C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",16
"GO:0009181","purine ribonucleoside diphosphate catabolic process","16/763","29/5539",0.551724137931034,4.00524246395806,6.48498986846816,1.70159039383896e-07,5.83289358260145e-06,5.83289358260145e-06,"YDL021W/YDR050C/YJR009C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",16
"GO:0046032","ADP catabolic process","16/763","29/5539",0.551724137931034,4.00524246395806,6.48498986846816,1.70159039383896e-07,5.83289358260145e-06,5.83289358260145e-06,"YDL021W/YDR050C/YJR009C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",16
"GO:0019320","hexose catabolic process","20/763","43/5539",0.465116279069767,3.37651254229023,6.25255559614276,2.00817691185179e-07,6.72739265470349e-06,6.72739265470349e-06,"YDL021W/YPL061W/YGR087C/YLR134W/YHR104W/YDR050C/YJR009C/YLR044C/YLR377C/YMR170C/YOL086C/YCR012W/YNR071C/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YGR240C",20
"GO:0006089","lactate metabolic process","18/763","36/5539",0.5,3.62975098296199,6.32663392358459,2.08523121648413e-07,6.83029069577247e-06,6.83029069577247e-06,"YML054C/YEL071W/YPL061W/YGR087C/YLR134W/YDR050C/YJR009C/YLR044C/YLR377C/YMR170C/YOL086C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W",18
"GO:0006083","acetate metabolic process","17/763","33/5539",0.515151515151515,3.73974343699114,6.30892474887956,2.61944727265112e-07,8.21503251039947e-06,8.21503251039947e-06,"YPL061W/YGR087C/YLR134W/YDR050C/YJR009C/YLR044C/YLR377C/YBL015W/YMR170C/YOL086C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W",17
"GO:0072526","pyridine-containing compound catabolic process","17/763","33/5539",0.515151515151515,3.73974343699114,6.30892474887956,2.61944727265112e-07,8.21503251039947e-06,8.21503251039947e-06,"YDL021W/YDR050C/YJR009C/YHR202W/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",17
"GO:0009191","ribonucleoside diphosphate catabolic process","16/763","30/5539",0.533333333333333,3.87173438182612,6.30340329779861,3.1844410976791e-07,9.77888787078956e-06,9.77888787078956e-06,"YDL021W/YDR050C/YJR009C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",16
"GO:0046434","organophosphate catabolic process","26/763","68/5539",0.382352941176471,2.77569192814741,5.88837289733701,3.85313252524463e-07,1.15908517187971e-05,1.15908517187971e-05,"YNR001C/YDL021W/YDR050C/YJR009C/YOL059W/YER037W/YCR068W/YDL022W/YKR031C/YHR202W/YLR377C/YPL075W/YGL126W/YOL136C/YOR344C/YCR012W/YNR071C/YPL206C/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",26
"GO:0019693","ribose phosphate metabolic process","34/763","103/5539",0.330097087378641,2.39634045477102,5.71711324089241,4.08242748494223e-07,1.20349962256097e-05,1.20349962256097e-05,"YJL116C/YDL004W/YDL021W/YDR226W/YDR050C/YPR020W/YJR009C/YJR010W/YML022W/YPL271W/YKL016C/YDR400W/YKL001C/YOR128C/YLR377C/YMR271C/YPL075W/YOL136C/YOR344C/YCR012W/YGL234W/YOL077W-A/YJR121W/YDR322C-A/YKL152C/YKL060C/YHR174W/YLR295C/YJL052W/YML081C-A/YBR196C/YAL038W/YLR446W/YGR240C",34
"GO:0006195","purine nucleotide catabolic process","17/763","34/5539",0.5,3.62975098296199,6.14726603684475,4.57406254700075e-07,1.29657080659214e-05,1.29657080659214e-05,"YDL021W/YDR050C/YJR009C/YHR202W/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",17
"GO:0009185","ribonucleoside diphosphate metabolic process","17/763","34/5539",0.5,3.62975098296199,6.14726603684475,4.57406254700075e-07,1.29657080659214e-05,1.29657080659214e-05,"YDL021W/YDR226W/YDR050C/YJR009C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",17
"GO:0046365","monosaccharide catabolic process","21/763","49/5539",0.428571428571429,3.11121512825314,5.93268025784408,5.52113434617444e-07,1.53550038231342e-05,1.53550038231342e-05,"YDL021W/YPL061W/YGR087C/YLR134W/YHR104W/YDR050C/YJR009C/YJR096W/YLR044C/YLR377C/YMR170C/YOL086C/YCR012W/YNR071C/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YGR240C",21
"GO:0009134","nucleoside diphosphate catabolic process","16/763","31/5539",0.516129032258065,3.74683972434786,6.12948217202352,5.74800437656339e-07,1.54046517291899e-05,1.54046517291899e-05,"YDL021W/YDR050C/YJR009C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",16
"GO:0009154","purine ribonucleotide catabolic process","16/763","31/5539",0.516129032258065,3.74683972434786,6.12948217202352,5.74800437656339e-07,1.54046517291899e-05,1.54046517291899e-05,"YDL021W/YDR050C/YJR009C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",16
"GO:0009166","nucleotide catabolic process","18/763","38/5539",0.473684210526316,3.43871145754294,6.02889860835362,5.87811279826079e-07,1.54720326154221e-05,1.54720326154221e-05,"YDL021W/YDR050C/YJR009C/YER037W/YHR202W/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",18
"GO:1901292","nucleoside phosphate catabolic process","20/763","46/5539",0.434782608695652,3.15630520257565,5.86936249608634,7.78640376688537e-07,2.01353669340158e-05,2.01353669340158e-05,"YNR001C/YDL021W/YDR050C/YJR009C/YER037W/YHR202W/YLR377C/YPL075W/YGL126W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",20
"GO:0055086","nucleobase-containing small molecule metabolic process","65/763","263/5539",0.247148288973384,1.79417348967703,5.27408897555918,8.09843176099349e-07,2.05811869236283e-05,2.05811869236283e-05,"YIR028W/YNR001C/YKR080W/YJL116C/YDL004W/YLR174W/YDL021W/YPL061W/YER055C/YDR226W/YNL129W/YDR050C/YMR169C/YOR222W/YPR020W/YDL238C/YJR009C/YMR278W/YJR010W/YER037W/YOR317W/YDL166C/YML022W/YMR315W/YNL241C/YPL271W/YKL016C/YDR400W/YKL001C/YHR202W/YOR128C/YML075C/YLR377C/YGR248W/YMR271C/YGR043C/YPL075W/YGL126W/YOL136C/YOR047C/YOR095C/YMR170C/YOR344C/YGR256W/YCR012W/YNL141W/YGL234W/YOL077W-A/YJR121W/YDR322C-A/YMR207C/YIL155C/YKL152C/YLR231C/YKL060C/YHR174W/YBR117C/YLR295C/YJL052W/YML081C-A/YBR196C/YAL038W/YLR446W/YDL055C/YGR240C",65
"GO:0009261","ribonucleotide catabolic process","16/763","32/5539",0.5,3.62975098296199,5.96264100852063,1.00412921840004e-06,2.50862113207062e-05,2.50862113207062e-05,"YDL021W/YDR050C/YJR009C/YLR377C/YPL075W/YOL136C/YOR344C/YCR012W/YKL152C/YKL060C/YHR174W/YJL052W/YBR196C/YAL038W/YLR446W/YGR240C",16
