"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YDR032C",217.763226511387,1.56314365984515,0.245198599231175,2.12122210148944e-11,1.04264908940146e-09
"YHL032C",122.983729340174,2.07416519958992,0.328948870247147,2.53493100719245e-11,1.23603235910704e-09
"YCR098C",126.245014782304,1.77362800775125,0.28298481929833,3.5004207435104e-11,1.68546870573837e-09
"YJR009C",286.371976311425,-1.59762631165905,0.254563478295205,3.51196924739578e-11,1.68546870573837e-09
"YLR164W",44.7507194570191,-2.65881041399355,0.433336233432892,3.64475459636668e-11,1.73552963006679e-09
"YHR140W",48.4888485898979,-2.40628010984041,0.388494752952383,3.76524702915815e-11,1.7772407417009e-09
"YKL096W-A",2646.63435421076,-1.35894272936867,0.215296040286469,3.79066934243015e-11,1.7772407417009e-09
"YCR032W",119.849404666615,-1.69413764751095,0.270722762143654,4.10748481610763e-11,1.91107785909741e-09
"YOR384W",25.2537137626721,-5.04321598112773,0.778318363071225,4.5042958339623e-11,2.0798244778788e-09
"YNL195C",101.22845315212,-1.9393530460371,0.311172063301672,4.79416516468681e-11,2.19702531419294e-09
"YML075C",156.178031305193,-1.87562505459373,0.303961666097763,5.05089225040633e-11,2.29740210941989e-09
"YPR124W",118.219972568829,-1.74332441939941,0.282966952127718,8.44319334313162e-11,3.81194543899164e-09
"YKL009W",80.7663031676733,2.36364282586772,0.389796953494553,1.10438510110358e-10,4.94943175825466e-09
"YCR011C",249.815363799565,-1.44234104190916,0.23553902926357,1.14596096341708e-10,5.09827158542124e-09
"YKR031C",233.711979509307,-1.55699654604775,0.254589987086352,1.21460027437216e-10,5.36448454514369e-09
"snR44",127.059263228126,2.15438843432469,0.358058675699618,1.30536396288845e-10,5.72388011065114e-09
"YDR322C-A",276.024727093638,1.44199558070135,0.236646108442133,1.48802153447758e-10,6.47820803760062e-09
"YHR174W",197.795460500174,-1.57421823414199,0.261695695079185,1.90078842700691e-10,8.21652869688449e-09
"YNL052W",1150.49250104031,1.42727174463272,0.236171075979965,1.98636049817297e-10,8.52596284251002e-09
"YOR317W",343.611088823079,-1.48183616776529,0.246139484857895,2.00276891889472e-10,8.53627731514916e-09
"YER169W",136.309072649295,-1.57242528358662,0.26211328376266,2.09563280122352e-10,8.87005689128981e-09
"YPL061W",311.600285300327,1.40521583805301,0.23308856020369,2.22808209448063e-10,9.36562783852375e-09
"YOL058W",300.036313627817,1.56490276602847,0.261150883268838,2.33253271562021e-10,9.73752527514052e-09
"YKL152C",1722.60377123828,-1.36501967728849,0.22692360832207,2.45229517676884e-10,1.01678497295279e-08
"YLR178C",246.721335739411,-1.74887718408663,0.294916612206273,2.87661105273461e-10,1.18465840313631e-08
"YDR242W",97.1880578432746,-1.67213355514537,0.283092572867382,3.49961183345427e-10,1.43155262583247e-08
"YGR019W",66.0470657133857,-1.85698003888804,0.315319108979462,3.709411000566e-10,1.50725733656332e-08
"YDR074W",446.311862915738,-1.3999477269385,0.236466684713396,4.05788957315243e-10,1.63793622174596e-08
"YGL062W",372.624843523531,1.39538922180746,0.235579456689616,4.27242559336056e-10,1.71318644681136e-08
"YGR189C",82.5608375415065,2.07516567853277,0.357308516249896,4.86260992600025e-10,1.93709852934454e-08
"YCR079W",85.1356069515317,-1.96654378643884,0.343124609370947,6.36773626716896e-10,2.52021769794771e-08
"YGR234W",1409.24223172421,1.35785348337069,0.233091229735554,8.07829792925932e-10,3.17659521798939e-08
"YKL081W",84.2281456215736,1.69599529160341,0.29498118212478,9.42778238473443e-10,3.68348292531772e-08
"YOR247W",32.2294339015657,2.5507597259964,0.447439908792727,1.23437632785521e-09,4.79205332374363e-08
"YLR237W",95.0752695542961,-1.67934069830242,0.295354426252401,1.27909971264868e-09,4.93424857505929e-08
"YLR168C",215.66396963413,1.64098789806928,0.288212465956684,1.38772051751265e-09,5.31959531713181e-08
"YKL153W",1011.27034877784,-1.32602555787847,0.231249226954815,1.40614781625933e-09,5.35654433756287e-08
"YPR167C",67.9074422550126,2.02102540504811,0.359399547842733,1.70323410728127e-09,6.4479576918505e-08
"YLR231C",44.463895082723,-2.14485566006595,0.3857097634438,1.73680793796645e-09,6.53447184068241e-08
"YLR053C",65.4141778938325,-2.10941710661889,0.374639874347785,1.9271995164192e-09,7.20630739421779e-08
"YNL134C",477.243401537746,1.32104646137243,0.232489116279189,1.94943417998388e-09,7.24500080914742e-08
"YGR035C",40.9143171720198,-2.49110753805413,0.443239281355506,1.98233341043482e-09,7.32261947672741e-08
"YOL138C",140.485985228733,-1.49175511619904,0.264515873032031,2.18716787434654e-09,8.03059529767601e-08
"YLR075W",1096.44241566567,1.52588061995753,0.271491671954871,2.25428079476799e-09,8.22744996653348e-08
"YNL129W",46.5930156951371,-2.13595303345454,0.38131093258857,2.35996944565948e-09,8.56191295910389e-08
"YFL021W",138.323674345928,-1.58401967331953,0.283439090860702,2.50240300905967e-09,9.02493866285129e-08
"YMR040W",68.6940588689956,2.67193661952303,0.484298494038931,2.54257760365694e-09,9.11588852605237e-08
"YLR076C",723.472024725178,1.55687772756406,0.279152624421753,2.79192959442273e-09,9.9513513906471e-08
"YNL074C",136.288538620656,-1.47220804929195,0.2636784580402,2.82968264980116e-09,1.002727659915e-07
"YML012W",155.595684380798,1.40043428280662,0.250115985381165,2.9818435604766e-09,1.05053968214479e-07
"YMR272C",287.165682497101,-1.29645386817929,0.232388236023778,3.5368096309855e-09,1.23889969545153e-07
"YDL239C",206.10974598892,-1.99548690530707,0.363398617319466,3.60344625211519e-09,1.25502885180812e-07
"YFR032C-A",172.888169359716,1.56721681008006,0.284471973324893,4.3261296889069e-09,1.49816820760725e-07
"YNL037C",493.55889355774,1.33613980137428,0.241578109759275,4.5416868745266e-09,1.56393115820563e-07
"YPR006C",56.3992760904136,1.97253324252789,0.363000983183404,4.60308079732269e-09,1.57616727301583e-07
"YER132C",140.856949743145,-1.39826062760508,0.253672662645593,4.77429320090202e-09,1.62566017092167e-07
"YFR011C",106.062878075198,1.77813603914357,0.325750357200079,5.0424412252883e-09,1.70358823611211e-07
"YMR315W",206.411915773782,-1.32782008469141,0.240906583809046,5.05905612364712e-09,1.70358823611211e-07
"YBR189W",162.96387611705,1.37826409234888,0.251212119742838,5.78262934541813e-09,1.92075910821775e-07
"YIL113W",37.7732576098308,-2.12673428823238,0.394462923903669,5.79851806254416e-09,1.92075910821775e-07
"YLR024C",200.617948197181,-1.36623920620528,0.249456498682578,5.74505794113793e-09,1.92075910821775e-07
"YDL168W",409.526627573973,1.21283788737202,0.221638605075647,7.55206804221985e-09,2.48810025499081e-07
"YAL061W",130.786051410096,-1.4463713988035,0.268103011962343,8.24574658053764e-09,2.70203362410629e-07
"YML063W",357.771765680436,1.39896162009226,0.258710181145825,8.47538646874396e-09,2.76243211374302e-07
"YGL205W",55.6394978566243,-1.86017756727161,0.350050374374233,8.56992840424562e-09,2.77838902254665e-07
"YHR205W",221.450139327211,-1.52323697189582,0.283955788782015,8.90035667659139e-09,2.87024729861505e-07
"YPL265W",295.372372722416,1.6141649149312,0.30160908229308,9.23760980922395e-09,2.96332798880105e-07
"YML091C",518.232047132273,1.54328921206556,0.287521738662134,9.39386651295615e-09,2.99767625112397e-07
"YGR211W",109.284072975241,1.5727363049611,0.294440181437373,1.02147800249868e-08,3.24266063814036e-07
"YJR036C",32.3223780912752,-2.22350895605424,0.420827723498924,1.0498509848512e-08,3.31546204801453e-07
"YGR144W",32.7004659810793,-2.2639828029436,0.434121819549497,1.15952836796e-08,3.64295123851351e-07
