"gene_id","count"
"YCL058W-A",47
"YCL059C",74
"YCL061C",48
"YCL063W",5
"YCL064C",124
"YCL065W",0
"YCL066W",0
"YCL067C",0
"YCL068C",0
"YCL069W",0
"YCL073C",0
"YCL074W",28
"YCL075W",14
"YCL076W",18
"YCR001W",0
"YCR002C",43
"YCR003W",40
"YCR004C",58
"YCR005C",137
"YCR006C",4
"YCR007C",12
"YCR008W",176
"YCR009C",134
"YCR010C",3
"YCR011C",383
"YCR012W",7242
"YCR013C",4010
"YCR014C",63
"YCR015C",21
"YCR016W",27
"YCR017C",181
"YCR018C",11
"YCR018C-A",1
"YCR019W",28
"YCR020C",31
"YCR020C-A",32
"YCR020W-B",11
"YCR021C",3153
"YCR022C",0
"YCR023C",94
"YCR024C",27
"YCR024C-A",399
"YCR024C-B",741
"YCR025C",10
"YCR026C",96
"YCR027C",16
"YCR028C",33
"YCR028C-A",83
"YCR030C",79
"YCR031C",230
"YCR032W",211
"YCR033W",227
"YCR034W",12
"YCR035C",65
"YCR036W",67
"YCR037C",96
"YCR038C",23
"YCR038W-A",0
"YCR039C",0
"YCR040W",0
"YCR041W",5
"YCR042C",130
"YCR043C",23
"YCR044C",39
"YCR045C",18
"YCR045W-A",1
"YCR046C",22
"YCR047C",50
"YCR047W-A",11
"YCR048W",11
"YCR049C",1
"YCR050C",5
"YCR051W",11
"YCR052W",13
"YCR053W",62
"YCR054C",33
"YCR057C",31
"YCR059C",9
"YCR060W",6
"YCR061W",51
"YCR063W",3
"YCR064C",3
"YCR065W",37
"YCR066W",14
"YCR067C",54
"YCR068W",32
"YCR069W",104
"YCR071C",22
"YCR072C",11
"YCR073C",87
"YCR073W-A",18
"YCR075C",19
"YCR075W-A",27
"YCR076C",40
"YCR077C",79
"YCR079W",140
"YCR081C-A",8
"YCR081W",42
"YCR082W",65
"YCR083W",104
"YCR084C",61
"YCR085W",0
"YCR086W",6
"YCR087C-A",8
"YCR087W",5
"YCR088W",65
"YCR089W",38
"YCR090C",15
"YCR091W",57
"YCR092C",51
"YCR093W",340
"YCR094W",23
"YCR095C",32
"YCR095W-A",0
"YCR096C",0
"YCR097W",54
"YCR097W-A",0
"YCR098C",49
"YCR099C",2
"YCR100C",9
"YCR101C",8
"YCR102C",12
"YCR102W-A",0
"YCR104W",0
"YCR105W",5
