"gene_id","count","log10_count"
"YBL040C",101,2.00860017176192
"YBL041W",347,2.54157924394658
"YBL042C",76,1.88649072517248
"YBL043W",132,2.12385164096709
"YBL044W",0,0
"YBL045C",808,2.90794852161227
"YBL046W",24,1.39794000867204
"YBL047C",201,2.30535136944662
"YBL048W",27,1.44715803134222
"YBL049W",89,1.95424250943932
"YBL050W",178,2.25285303097989
"YBL051C",167,2.22530928172586
"YBL052C",50,1.70757017609794
"YBL053W",17,1.25527250510331
"YBL054W",29,1.47712125471966
"YBL055C",43,1.64345267648619
"YBL056W",172,2.2380461031288
"YBL057C",41,1.6232492903979
"YBL058W",150,2.17897694729317
"YBL059C-A",181,2.26007138798507
"YBL059W",48,1.69019608002851
"YBL060W",51,1.7160033436348
"YBL061C",46,1.67209785793572
"YBL062W",15,1.20411998265592
"YBL063W",56,1.75587485567249
"YBL064C",974,2.98900461569854
"YBL065W",8,0.954242509439325
"YBL066C",112,2.05307844348342
"YBL067C",121,2.08635983067475
"YBL068W",54,1.74036268949424
"YBL068W-A",0,0
"YBL069W",10,1.04139268515822
"YBL070C",1,0.301029995663981
"YBL071C",18,1.27875360095283
"YBL071C-B",8,0.954242509439325
"YBL071W-A",21,1.34242268082221
"YBL072C",191,2.28330122870355
"YBL073W",9,1
"YBL074C",16,1.23044892137827
"YBL075C",114,2.06069784035361
"YBL076C",392,2.59439255037543
"YBL077W",75,1.88081359228079
"YBL078C",111,2.04921802267018
"YBL079W",123,2.09342168516224
"YBL080C",30,1.49136169383427
"YBL081W",41,1.6232492903979
"YBL082C",22,1.36172783601759
"YBL083C",0,0
"YBL084C",68,1.83884909073726
"YBL085W",95,1.98227123303957
"YBL086C",63,1.80617997398389
"YBL087C",87,1.94448267215017
"YBL088C",129,2.11394335230684
"YBL089W",44,1.65321251377534
"YBL090W",114,2.06069784035361
"YBL091C",298,2.47567118832443
"YBL091C-A",21,1.34242268082221
"YBL092W",796,2.90145832139611
"YBL093C",63,1.80617997398389
"YBL094C",40,1.61278385671974
"YBL095W",58,1.77085201164214
"YBL096C",18,1.27875360095283
"YBL097W",30,1.49136169383427
"YBL098W",58,1.77085201164214
"YBL099W",2221,3.34674405460485
"YBL100C",613,2.78816837114117
"YBL100W-A",0,0
"YBL100W-B",0,0
"YBL100W-C",0,0
"YBL101C",147,2.17026171539496
"YBL102W",43,1.64345267648619
"YBL103C",75,1.88081359228079
"YBL104C",51,1.7160033436348
"YBL105C",105,2.02530586526477
"YBL106C",34,1.54406804435028
"YBL107C",72,1.86332286012046
"YBL107W-A",0,0
"YBL108C-A",0,0
"YBL108W",1,0.301029995663981
"YBL109W",0,0
"YBL111C",0,0
"YBL112C",0,0
"YBL113C",0,0
"YBL113W-A",0,0
"YBR001C",107,2.03342375548695
"YBR002C",55,1.7481880270062
"YBR003W",116,2.06818586174616
"YBR004C",45,1.66275783168157
"YBR005W",23,1.38021124171161
"YBR006W",199,2.30102999566398
"YBR007C",57,1.76342799356294
"YBR008C",98,1.99563519459755
"YBR009C",187,2.27415784926368
"YBR010W",649,2.81291335664286
"YBR011C",642,2.80821097292422
"YBR012C",20,1.32221929473392
"YBR012W-A",0,0
"YBR012W-B",0,0
"YBR013C",24,1.39794000867204
"YBR014C",73,1.86923171973098
"YBR015C",126,2.10380372095596
"YBR016W",25,1.41497334797082
"YBR017C",61,1.79239168949825
"YBR018C",3,0.602059991327962
"YBR019C",5,0.778151250383644
"YBR020W",6,0.845098040014257
"YBR021W",42,1.63346845557959
"YBR022W",64,1.81291335664286
"YBR023C",127,2.10720996964787
"YBR024W",108,2.03742649794062
"YBR025C",679,2.83250891270624
"YBR026C",142,2.15533603746506
"YBR027C",3,0.602059991327962
"YBR028C",75,1.88081359228079
"YBR029C",79,1.90308998699194
"YBR030W",25,1.41497334797082
"YBR031W",27,1.44715803134222
"YBR032W",2,0.477121254719662
"YBR033W",84,1.92941892571429
"YBR034C",93,1.9731278535997
"YBR035C",180,2.25767857486918
"YBR036C",191,2.28330122870355
"YBR037C",46,1.67209785793572
"YBR038W",16,1.23044892137827
"YBR039W",1075,3.03181227133037
"YBR040W",3,0.602059991327962
"YBR041W",79,1.90308998699194
"YBR042C",43,1.64345267648619
"YBR043C",41,1.6232492903979
"YBR044C",115,2.06445798922692
"YBR045C",20,1.32221929473392
"YBR046C",134,2.13033376849501
"YBR047W",180,2.25767857486918
"YBR048W",137,2.13987908640124
"YBR049C",122,2.0899051114394
"YBR050C",30,1.49136169383427
"YBR051W",12,1.11394335230684
"YBR052C",243,2.38738982633873
"YBR053C",137,2.13987908640124
"YBR054W",3124,3.49485002168009
"YBR055C",57,1.76342799356294
"YBR056C-B",35,1.55630250076729
"YBR056W",187,2.27415784926368
"YBR056W-A",41,1.6232492903979
"YBR057C",44,1.65321251377534
"YBR058C",68,1.83884909073726
"YBR058C-A",88,1.94939000664491
"YBR059C",132,2.12385164096709
"YBR060C",55,1.7481880270062
"YBR061C",36,1.56820172406699
"YBR062C",37,1.57978359661681
"YBR063C",53,1.73239375982297
"YBR064W",16,1.23044892137827
"YBR065C",67,1.83250891270624
"YBR066C",17,1.25527250510331
"YBR067C",238,2.37839790094814
"YBR068C",242,2.38560627359831
"YBR069C",41,1.6232492903979
"YBR070C",28,1.46239799789896
"YBR071W",57,1.76342799356294
"YBR072C-A",2,0.477121254719662
"YBR072W",2291,3.36021461329535
"YBR073W",81,1.91381385238372
