"","SRR10551660","SRR10551661","SRR10551662","SRR10551663","SRR10551664","SRR10551665"
"tN(GUU)N2",0,0,0,0,0,0
"tN(GUU)O1",0,0,0,0,0,0
"tN(GUU)O2",0,0,0,0,0,0
"tN(GUU)P",0,0,0,0,0,0
"tN(GUU)Q",0,0,0,0,1,1
"tP(AGG)C",0,2,0,0,1,0
"tP(AGG)N",0,0,1,0,0,1
"tP(UGG)A",0,0,0,0,0,0
"tP(UGG)F",0,0,0,0,0,0
"tP(UGG)H",0,0,0,0,0,0
"tP(UGG)L",0,0,0,0,0,0
"tP(UGG)M",0,0,0,0,0,0
"tP(UGG)N1",0,0,0,0,0,0
"tP(UGG)N2",0,0,0,0,0,0
"tP(UGG)O1",0,0,0,0,0,0
"tP(UGG)O2",0,0,0,0,0,0
"tP(UGG)O3",0,0,1,0,0,0
"tP(UGG)Q",0,1,0,0,1,1
"tQ(CUG)M",1,0,2,2,2,2
"tQ(UUG)B",1,0,0,0,0,0
"tQ(UUG)C",0,0,0,0,0,0
"tQ(UUG)D1",0,0,0,0,3,0
"tQ(UUG)D2",0,0,0,0,0,0
"tQ(UUG)D3",0,1,0,1,0,1
"tQ(UUG)E1",0,1,0,0,0,0
"tQ(UUG)E2",0,0,0,0,0,1
"tQ(UUG)H",0,1,0,0,0,1
"tQ(UUG)L",0,0,0,1,0,0
"tQ(UUG)Q",0,0,0,0,0,0
"tR(ACG)D",2,2,1,1,3,2
"tR(ACG)E",0,2,0,0,2,0
"tR(ACG)J",0,1,0,0,1,0
"tR(ACG)K",1,1,5,0,0,1
"tR(ACG)L",0,0,1,0,1,0
"tR(ACG)O",0,0,0,0,0,0
"tR(ACG)Q2",0,0,0,0,0,0
"tR(CCG)L",1,0,0,0,0,0
"tR(CCU)J",1,1,0,0,0,0
"tR(UCU)B",0,0,0,0,0,0
"tR(UCU)D",0,0,0,0,0,0
"tR(UCU)E",0,0,1,0,0,2
"tR(UCU)G1",0,0,0,0,0,0
"tR(UCU)G2",2,0,0,0,0,0
"tR(UCU)G3",0,1,2,0,1,2
"tR(UCU)J1",0,0,0,0,0,0
"tR(UCU)J2",0,0,0,0,0,0
"tR(UCU)K",1,1,1,1,0,0
"tR(UCU)M1",1,0,0,1,2,0
"tR(UCU)M2",0,0,0,0,0,0
"tR(UCU)Q1",0,2,0,0,0,0
"tS(AGA)A",0,0,0,0,0,0
"tS(AGA)B",0,0,1,0,0,0
"tS(AGA)D1",0,0,0,0,0,0
"tS(AGA)D2",0,0,0,1,0,1
"tS(AGA)D3",0,1,0,0,0,0
"tS(AGA)E",0,0,0,0,0,0
"tS(AGA)G",0,0,0,0,0,0
"tS(AGA)H",0,0,0,0,0,0
"tS(AGA)J",2,0,0,0,0,0
"tS(AGA)L",0,0,0,0,0,0
"tS(AGA)M",0,0,2,0,0,0
"tS(CGA)C",0,1,0,0,0,1
